Skill ID,Skill Name,Skill Type,Info URL
ES9BD12EB76B360E0E89,Ability To Meet Deadlines,Common Skill,https://lightcast.io/open-skills/skills/ES9BD12EB76B360E0E89
ES7A07CF87C516875B23,Accountability,Common Skill,https://lightcast.io/open-skills/skills/ES7A07CF87C516875B23
ES2EC8932A157A788D11,Action Oriented,Common Skill,https://lightcast.io/open-skills/skills/ES2EC8932A157A788D11
KS1205G70KR7LY58Q27Z,Active Learning,Common Skill,https://lightcast.io/open-skills/skills/KS1205G70KR7LY58Q27Z
KS1205H6HZDXGDV2R0QZ,Active Listening,Common Skill,https://lightcast.io/open-skills/skills/KS1205H6HZDXGDV2R0QZ
KS120626HMWCXJWJC7VK,Adaptability,Common Skill,https://lightcast.io/open-skills/skills/KS120626HMWCXJWJC7VK
ES6F69BD705AC88CD023,Adaptive Leadership,Common Skill,https://lightcast.io/open-skills/skills/ES6F69BD705AC88CD023
ES9E6EE4DA48A10FAFCB,Adaptive Reasoning,Common Skill,https://lightcast.io/open-skills/skills/ES9E6EE4DA48A10FAFCB
BGS4C2319B8365DF8423,Adding Machines,Common Skill,https://lightcast.io/open-skills/skills/BGS4C2319B8365DF8423
ESE1B279F38C73E025BD,Administrative Functions,Common Skill,https://lightcast.io/open-skills/skills/ESE1B279F38C73E025BD
KS7G7LT731301PM8PGN8,Advising,Common Skill,https://lightcast.io/open-skills/skills/KS7G7LT731301PM8PGN8
ESD2EDF2E51D7C90FD5F,Advocacy,Common Skill,https://lightcast.io/open-skills/skills/ESD2EDF2E51D7C90FD5F
ESF80FF10258D686691A,Aesthetics,Common Skill,https://lightcast.io/open-skills/skills/ESF80FF10258D686691A
KSFJTTHIYSVS7DXDWKHO,Agenda (Meeting),Common Skill,https://lightcast.io/open-skills/skills/KSFJTTHIYSVS7DXDWKHO
ES33595A31E4D47C9F2A,Albanian Language,Common Skill,https://lightcast.io/open-skills/skills/ES33595A31E4D47C9F2A
KS120G175P1SYJB6HVMN,Amharic Language,Common Skill,https://lightcast.io/open-skills/skills/KS120G175P1SYJB6HVMN
ESFA9982A2A945E439CB,Analytical Skills,Common Skill,https://lightcast.io/open-skills/skills/ESFA9982A2A945E439CB
ES86C12B1AA904C0F35F,Analytical Thinking,Common Skill,https://lightcast.io/open-skills/skills/ES86C12B1AA904C0F35F
KS120KH6GKCMVFHQGL11,Apple IPad,Common Skill,https://lightcast.io/open-skills/skills/KS120KH6GKCMVFHQGL11
KS120M16XCSQRBQ5ZH6D,Arabic Language,Common Skill,https://lightcast.io/open-skills/skills/KS120M16XCSQRBQ5ZH6D
KS120N16RKC5T8W8T9Q8,Arithmetic,Common Skill,https://lightcast.io/open-skills/skills/KS120N16RKC5T8W8T9Q8
ESD9586DAE537548103C,Armenian Language,Common Skill,https://lightcast.io/open-skills/skills/ESD9586DAE537548103C
KS120PG654CDDJ7C7Q53,Assertiveness,Common Skill,https://lightcast.io/open-skills/skills/KS120PG654CDDJ7C7Q53
ES41798F0EADEB1AF82F,Basic Internet Skills,Common Skill,https://lightcast.io/open-skills/skills/ES41798F0EADEB1AF82F
ESCBF9FD5DB49E82C7C9,Basic Reading,Common Skill,https://lightcast.io/open-skills/skills/ESCBF9FD5DB49E82C7C9
KS120XP6F2XX9S40D834,Basic Writing,Common Skill,https://lightcast.io/open-skills/skills/KS120XP6F2XX9S40D834
KS7G4G66WPNT3LLXKDW9,Bengali Language,Common Skill,https://lightcast.io/open-skills/skills/KS7G4G66WPNT3LLXKDW9
KS1214068GRCBP8WFT5P,Body Language,Common Skill,https://lightcast.io/open-skills/skills/KS1214068GRCBP8WFT5P
ES64AFEC5D5B2FE7B288,Bosnian Language,Common Skill,https://lightcast.io/open-skills/skills/ES64AFEC5D5B2FE7B288
KS1215X736FGJZK6JKST,Brainstorming,Common Skill,https://lightcast.io/open-skills/skills/KS1215X736FGJZK6JKST
ES733EBC45539B62B893,Breath Control,Common Skill,https://lightcast.io/open-skills/skills/ES733EBC45539B62B893
KS120HK5XY6JV257QLTX,Budgeting,Common Skill,https://lightcast.io/open-skills/skills/KS120HK5XY6JV257QLTX
ESA21AA31BFEECB913FB,Bulgarian Language,Common Skill,https://lightcast.io/open-skills/skills/ESA21AA31BFEECB913FB
ES3E0C8343DDDA484F3F,Burmese Language,Common Skill,https://lightcast.io/open-skills/skills/ES3E0C8343DDDA484F3F
KS1218B5WWXNDNQTN9MP,Business Acumen,Common Skill,https://lightcast.io/open-skills/skills/KS1218B5WWXNDNQTN9MP
KS1218B62M9QRBY8WRSK,Business Administration,Common Skill,https://lightcast.io/open-skills/skills/KS1218B62M9QRBY8WRSK
KS1218P66BGK5X5JGKLF,Business Ethics,Common Skill,https://lightcast.io/open-skills/skills/KS1218P66BGK5X5JGKLF
KS1218Q6PZLSBQJZ6QQD,Business Etiquette,Common Skill,https://lightcast.io/open-skills/skills/KS1218Q6PZLSBQJZ6QQD
ES99B020D66F6670BCA6,Business Objectives,Common Skill,https://lightcast.io/open-skills/skills/ES99B020D66F6670BCA6
KS121975WDFKW7W3PYZN,Business Proposals,Common Skill,https://lightcast.io/open-skills/skills/KS121975WDFKW7W3PYZN
BGSE6092A38185417AEB,Calculators,Common Skill,https://lightcast.io/open-skills/skills/BGSE6092A38185417AEB
ESBA6BA7B55869EB4DDD,Calendaring,Common Skill,https://lightcast.io/open-skills/skills/ESBA6BA7B55869EB4DDD
KS95IACBUORYQ0U7M90W,Calmness Under Pressure,Common Skill,https://lightcast.io/open-skills/skills/KS95IACBUORYQ0U7M90W
KS121CJ70B6S39XK1LMP,Cantonese Chinese,Common Skill,https://lightcast.io/open-skills/skills/KS121CJ70B6S39XK1LMP
ES4A1639959697B79061,Cardiorespiratory Fitness,Common Skill,https://lightcast.io/open-skills/skills/ES4A1639959697B79061
KS121DM65SYRH7R0PHFT,Cardiovascular Fitness,Common Skill,https://lightcast.io/open-skills/skills/KS121DM65SYRH7R0PHFT
KSNDJOEUGFQYV9XOCSHP,Caring Nature,Common Skill,https://lightcast.io/open-skills/skills/KSNDJOEUGFQYV9XOCSHP
KS79O5AFPWQ4IEY9HCH5,Challenge Driven,Common Skill,https://lightcast.io/open-skills/skills/KS79O5AFPWQ4IEY9HCH5
ES6291BAF2B127DF11F0,Change Agility,Common Skill,https://lightcast.io/open-skills/skills/ES6291BAF2B127DF11F0
KS121TR61G9J1BMSLHH5,Checklists,Common Skill,https://lightcast.io/open-skills/skills/KS121TR61G9J1BMSLHH5
KS121VY6XPHRR0YQ1Z06,Chinese Language,Common Skill,https://lightcast.io/open-skills/skills/KS121VY6XPHRR0YQ1Z06
KS121YT721BY2F3M5YDR,Cleanliness,Common Skill,https://lightcast.io/open-skills/skills/KS121YT721BY2F3M5YDR
KS121YX5XHV5QPYV2TXL,Clerical Works,Common Skill,https://lightcast.io/open-skills/skills/KS121YX5XHV5QPYV2TXL
ES4377E98D46E0742EFF,Client Confidentiality,Common Skill,https://lightcast.io/open-skills/skills/ES4377E98D46E0742EFF
KS43I7T7CU4Q66EGVQLU,Coaching,Common Skill,https://lightcast.io/open-skills/skills/KS43I7T7CU4Q66EGVQLU
ESA5B0428A8EBC6A5A20,Cognitive Flexibility,Common Skill,https://lightcast.io/open-skills/skills/ESA5B0428A8EBC6A5A20
KS7AASDV6UOE7VFBGF4D,Collaboration,Common Skill,https://lightcast.io/open-skills/skills/KS7AASDV6UOE7VFBGF4D
KS1223L6X0SFSMDMXHFX,Collaborative Communications,Common Skill,https://lightcast.io/open-skills/skills/KS1223L6X0SFSMDMXHFX
KS1223M6J4SS9X86LG8Y,Collaborative Learning,Common Skill,https://lightcast.io/open-skills/skills/KS1223M6J4SS9X86LG8Y
KS7G4YT72YHJ3BVJ4P56,Collections,Common Skill,https://lightcast.io/open-skills/skills/KS7G4YT72YHJ3BVJ4P56
KS122556LMQ829GZCCRV,Communication,Common Skill,https://lightcast.io/open-skills/skills/KS122556LMQ829GZCCRV
KSY50ITV7USNV22UXUK7,Communication With Candidates,Common Skill,https://lightcast.io/open-skills/skills/KSY50ITV7USNV22UXUK7
ES2C337E971A7E133B66,Community Leadership,Common Skill,https://lightcast.io/open-skills/skills/ES2C337E971A7E133B66
KS121HH77W43GZCCZYDN,Compact Discs,Common Skill,https://lightcast.io/open-skills/skills/KS121HH77W43GZCCZYDN
ESE78ADAE3F63E197E13,Compassion,Common Skill,https://lightcast.io/open-skills/skills/ESE78ADAE3F63E197E13
ES80E93EF8629D5C793C,Complex Problem Solving,Common Skill,https://lightcast.io/open-skills/skills/ES80E93EF8629D5C793C
ES5F5B7360E527A2CDF1,Composure,Common Skill,https://lightcast.io/open-skills/skills/ES5F5B7360E527A2CDF1
KS120DR6TDMC1651F9HQ,Computer Keyboards,Common Skill,https://lightcast.io/open-skills/skills/KS120DR6TDMC1651F9HQ
KS1227P6FBK34WLH6X8Z,Computer Literacy,Common Skill,https://lightcast.io/open-skills/skills/KS1227P6FBK34WLH6X8Z
KS1227W633PGW8Z5410H,Computer Terminals,Common Skill,https://lightcast.io/open-skills/skills/KS1227W633PGW8Z5410H
KSRR5TJKEQN6WJ7JS5DE,Conciliation,Common Skill,https://lightcast.io/open-skills/skills/KSRR5TJKEQN6WJ7JS5DE
ES1F6B6AD836D8403D5B,Concision,Common Skill,https://lightcast.io/open-skills/skills/ES1F6B6AD836D8403D5B
KS5UQIKUJ6EE8U9E6DYZ,Confident Communicator,Common Skill,https://lightcast.io/open-skills/skills/KS5UQIKUJ6EE8U9E6DYZ
KS1228M6S0Q13JW8NV10,Confidentiality,Common Skill,https://lightcast.io/open-skills/skills/KS1228M6S0Q13JW8NV10
ESBB99343C43532EBBB3,Conscientiousness,Common Skill,https://lightcast.io/open-skills/skills/ESBB99343C43532EBBB3
ES886154C56DD7EB0AFF,Constructive Feedback,Common Skill,https://lightcast.io/open-skills/skills/ES886154C56DD7EB0AFF
KS1229Z6PBVZJDZG48C6,Consultative Approaches,Common Skill,https://lightcast.io/open-skills/skills/KS1229Z6PBVZJDZG48C6
KS122B071LMGXVTT3Z91,Consulting,Common Skill,https://lightcast.io/open-skills/skills/KS122B071LMGXVTT3Z91
KS122D66ZXYMB2T0HT81,Cooperation,Common Skill,https://lightcast.io/open-skills/skills/KS122D66ZXYMB2T0HT81
KS122D673HLMNLY5V1ZN,Cooperative Learning,Common Skill,https://lightcast.io/open-skills/skills/KS122D673HLMNLY5V1ZN
KS7G2F36GFX1K55V6GK4,Coordinating,Common Skill,https://lightcast.io/open-skills/skills/KS7G2F36GFX1K55V6GK4
KS122DR5XY09M2XFZCC0,Corel Wordperfect Office,Common Skill,https://lightcast.io/open-skills/skills/KS122DR5XY09M2XFZCC0
ES1B33296DDAE6EFAC74,Courage,Common Skill,https://lightcast.io/open-skills/skills/ES1B33296DDAE6EFAC74
ES2A9C642878AF9B9757,Creative Design,Common Skill,https://lightcast.io/open-skills/skills/ES2A9C642878AF9B9757
KS122HL6YBBNN54X6DP4,Creative Entrepreneurship,Common Skill,https://lightcast.io/open-skills/skills/KS122HL6YBBNN54X6DP4
KS122HN63RD7JX5WNCJ8,Creative Problem Solving,Common Skill,https://lightcast.io/open-skills/skills/KS122HN63RD7JX5WNCJ8
KSVSYMYZ1SZWRBMMHMES,Creative Questioning,Common Skill,https://lightcast.io/open-skills/skills/KSVSYMYZ1SZWRBMMHMES
KS122HN7559WPNWPMDML,Creative Thinking,Common Skill,https://lightcast.io/open-skills/skills/KS122HN7559WPNWPMDML
KS122HK6LN2MZHFY69GJ,Creativity,Common Skill,https://lightcast.io/open-skills/skills/KS122HK6LN2MZHFY69GJ
ESE931B22DABCD5A9E32,Critical Reflection,Common Skill,https://lightcast.io/open-skills/skills/ESE931B22DABCD5A9E32
KS122J56PZMMFL1SVY1F,Critical Thinking,Common Skill,https://lightcast.io/open-skills/skills/KS122J56PZMMFL1SVY1F
KS122JC758LZ1W50SJDH,Croatian Language,Common Skill,https://lightcast.io/open-skills/skills/KS122JC758LZ1W50SJDH
ES98EF22264DE1E1D690,Cultural Humility,Common Skill,https://lightcast.io/open-skills/skills/ES98EF22264DE1E1D690
ESE52554401C20B866F9,Cultural Responsiveness,Common Skill,https://lightcast.io/open-skills/skills/ESE52554401C20B866F9
KSOLBOKKX23X15NAC1IN,Cultural Sensitivity,Common Skill,https://lightcast.io/open-skills/skills/KSOLBOKKX23X15NAC1IN
ESA420F05EBBD34B3C2A,Curiosity,Common Skill,https://lightcast.io/open-skills/skills/ESA420F05EBBD34B3C2A
KS121Z26S4VJLQ1WXN21,Customer Service,Common Skill,https://lightcast.io/open-skills/skills/KS121Z26S4VJLQ1WXN21
ESC995F0E6C4EA94DF23,Czech Language,Common Skill,https://lightcast.io/open-skills/skills/ESC995F0E6C4EA94DF23
KS122NB6VSLJ3R5FMC90,Danish Language,Common Skill,https://lightcast.io/open-skills/skills/KS122NB6VSLJ3R5FMC90
KS7G698788B2TVDZ5MD3,Dari Language,Common Skill,https://lightcast.io/open-skills/skills/KS7G698788B2TVDZ5MD3
KS1226B6N54XJ43HGGJ2,Data Compilation,Common Skill,https://lightcast.io/open-skills/skills/KS1226B6N54XJ43HGGJ2
ES47AD95411047C3173B,Data Interpretation,Common Skill,https://lightcast.io/open-skills/skills/ES47AD95411047C3173B
BGSA7DCCDC1D023EA7F9,Data Reporting,Common Skill,https://lightcast.io/open-skills/skills/BGSA7DCCDC1D023EA7F9
