Skill ID,Skill Name,Skill Type,Info URL,Is Software
KS126XS6CQCFGC3NG79X,.NET Assemblies,Specialized Skill,https://lightcast.io/open-skills/skills/KS126XS6CQCFGC3NG79X,True
KS1200B62W5ZF38RJ7TD,.NET Framework,Specialized Skill,https://lightcast.io/open-skills/skills/KS1200B62W5ZF38RJ7TD,True
KS126XW78QJCF4TRV2X7,.NET Framework 1,Specialized Skill,https://lightcast.io/open-skills/skills/KS126XW78QJCF4TRV2X7,True
KS126XY68BNKXSBSLPYS,.NET Framework 3,Specialized Skill,https://lightcast.io/open-skills/skills/KS126XY68BNKXSBSLPYS,True
KS126XR63RKYVCKYDNBN,.NET Framework 4,Specialized Skill,https://lightcast.io/open-skills/skills/KS126XR63RKYVCKYDNBN,True
ES1A2175859F80D25163,.NET MAUI (Multi-Platform App UI),Specialized Skill,https://lightcast.io/open-skills/skills/ES1A2175859F80D25163,True
KS126Y166NXP5X1SLV6V,.NET Reflector,Specialized Skill,https://lightcast.io/open-skills/skills/KS126Y166NXP5X1SLV6V,True
KS126Y16DLZ0N5THPLDM,.NET Remoting,Specialized Skill,https://lightcast.io/open-skills/skills/KS126Y16DLZ0N5THPLDM,True
BGSA5DBAB2CA5E93368B,.htaccess Files,Specialized Skill,https://lightcast.io/open-skills/skills/BGSA5DBAB2CA5E93368B,True
KSLGDAXJ4EFDMIOPMGL2,.nettiers,Specialized Skill,https://lightcast.io/open-skills/skills/KSLGDAXJ4EFDMIOPMGL2,True
ESF4BA869D66098F2ED0,1Password,Specialized Skill,https://lightcast.io/open-skills/skills/ESF4BA869D66098F2ED0,True
KS1200Y5ZNNT2B1M81RN,2020 Design Software,Specialized Skill,https://lightcast.io/open-skills/skills/KS1200Y5ZNNT2B1M81RN,True
KS1200Z77T1YZ4DJZ7M9,2D Gel Analysis Software,Specialized Skill,https://lightcast.io/open-skills/skills/KS1200Z77T1YZ4DJZ7M9,True
KS1201F63V91RBJT9L04,3CX Phone Systems,Specialized Skill,https://lightcast.io/open-skills/skills/KS1201F63V91RBJT9L04,True
KS120146S76B3ZKN68X3,3D Computer Graphics,Specialized Skill,https://lightcast.io/open-skills/skills/KS120146S76B3ZKN68X3,True
KS1201J6B7ZYCJ92N7Z7,3D Computer Graphics Software,Specialized Skill,https://lightcast.io/open-skills/skills/KS1201J6B7ZYCJ92N7Z7,True
KS126NG5VQMYFP0Z7024,3D Modeling Software,Specialized Skill,https://lightcast.io/open-skills/skills/KS126NG5VQMYFP0Z7024,True
KS1201M741SCTN1QLQ0S,3DML,Specialized Skill,https://lightcast.io/open-skills/skills/KS1201M741SCTN1QLQ0S,True
KS1201J773PFGJJKNTH9,3DMark (Computer Benchmarking),Specialized Skill,https://lightcast.io/open-skills/skills/KS1201J773PFGJJKNTH9,True
KS1201L6XXXWY12SW6LT,3DSlicer,Specialized Skill,https://lightcast.io/open-skills/skills/KS1201L6XXXWY12SW6LT,True
KS1201N5W7VSFRRRSTRK,3Dvia Composer,Specialized Skill,https://lightcast.io/open-skills/skills/KS1201N5W7VSFRRRSTRK,True
KS1201Q6YZG5VR15ZJ0G,3GPP (Telecommunication),Specialized Skill,https://lightcast.io/open-skills/skills/KS1201Q6YZG5VR15ZJ0G,True
BGS365426AB90EA7B07A,3M (Software),Specialized Skill,https://lightcast.io/open-skills/skills/BGS365426AB90EA7B07A,True
BGS839AC350FF72002B6,3M Codefinder,Specialized Skill,https://lightcast.io/open-skills/skills/BGS839AC350FF72002B6,True
BGS2EF4528BDCB3785BA,3M Encoder,Specialized Skill,https://lightcast.io/open-skills/skills/BGS2EF4528BDCB3785BA,True
KSD334WEJF3MR99D2G21,3d Engine,Specialized Skill,https://lightcast.io/open-skills/skills/KSD334WEJF3MR99D2G21,True
