Skill ID,Skill Name,Skill Type
KS126XS6CQCFGC3NG79X,.NET Assemblies,Specialized Skill
ES50D03AC9CFC1A0BC93,.NET Development,Specialized Skill
KS1200B62W5ZF38RJ7TD,.NET Framework,Specialized Skill
KS126XW78QJCF4TRV2X7,.NET Framework 1,Specialized Skill
KS126XY68BNKXSBSLPYS,.NET Framework 3,Specialized Skill
KS126XR63RKYVCKYDNBN,.NET Framework 4,Specialized Skill
ES1A2175859F80D25163,.NET MAUI (Multi-Platform App UI),Specialized Skill
KS126Y166NXP5X1SLV6V,.NET Reflector,Specialized Skill
KS126Y16DLZ0N5THPLDM,.NET Remoting,Specialized Skill
BGSA5DBAB2CA5E93368B,.htaccess Files,Specialized Skill
KSLGDAXJ4EFDMIOPMGL2,.nettiers,Specialized Skill
KS1200M68TBM4SXLZV0G,10 Gigabit Ethernet,Specialized Skill
KSJCP2DYKDSINHFDMF51,1010data,Specialized Skill
KS1200L6T0NXQPW7Z8YR,10BASE-F (Physical Layer Protocols),Specialized Skill
KS1200K743J4NT3LXJ3B,10BASE2,Specialized Skill
KS1200L6N1G9SQSN2K4C,10BASE5,Specialized Skill
BGS17D5F207B94197B41,12 Volt Electricity,Specialized Skill
KSG3JYO4PNRLSK692Z3J,128bit,Specialized Skill
KSFX0RS58RA2JDB0PO5E,12factor,Specialized Skill
ESF4BA869D66098F2ED0,1Password,Specialized Skill
KS1200Y5ZNNT2B1M81RN,2020 Design Software,Specialized Skill
KS1200Y714QV48TFJ75H,2D Animation,Specialized Skill
KS1200Y77WTLF0Y9J7TM,2D Computer Graphics,Specialized Skill
ES30F1316344594A4359,2D Computer-Aided Drafting And Design,Specialized Skill
ESE852A154E9389EAAAF,2D Game Development,Specialized Skill
KS1200Z77T1YZ4DJZ7M9,2D Gel Analysis Software,Specialized Skill
KS120196S0WRN2WBY8ZR,35 Mm Films,Specialized Skill
ES7D459096FC26D1A833,360 Campaigns,Specialized Skill
BGS146A23071499E566E,360-Degree Feedback,Specialized Skill
